Syst,Gene,alphaLow,alpha,alphaHigh,thalfLowRaw,thalfRaw,thalfHighRaw,thalfLow,thalf,thalfHigh,Yeq,iterations,GoodMeanCounts,ss.abundance,syn.low,syn,syn.high
YBR099C,YBR099C,0.0636,0.0895,0.1111,6.2,7.7,10.9,6.7,8.4,12.2,178.4,1000,0,0.3708,0.024,0.033,0.041
YBR101C,FES1,0.0599,0.0708,0.0835,8.3,9.8,11.6,9,10.9,13.1,3243.9,1000,1,5.148,0.308,0.365,0.43
YBR102C,EXO84,0.0874,0.1015,0.1159,6,6.8,7.9,6.4,7.3,8.6,2471.7,1000,1,2.176,0.19,0.221,0.252
YBR103W,SIF2,0.0537,0.0648,0.0753,9.2,10.7,12.9,10.1,12,14.8,1976.8,1000,1,1.574,0.085,0.102,0.119
YBR104W,YMC2,0.0633,0.0776,0.0923,7.5,8.9,11,8.1,9.8,12.3,593.7,1000,1,5.162,0.327,0.401,0.476
YBR105C,VID24,0.0852,0.1034,0.1223,5.7,6.7,8.1,6,7.2,8.8,841,1000,1,13.23,1.127,1.368,1.618
YBR106W,PHO88,0.0255,0.0333,0.0404,17.2,20.8,27.2,20.7,26.2,37.3,20330.9,895,1,48.1,1.227,1.602,1.943
YBR107C,IML3,0.0344,0.0416,0.0482,14.4,16.7,20.1,16.8,20,25.2,494.2,1000,1,0.645,0.022,0.027,0.031
YBR108W,AIM3,0.0775,0.0942,0.114,6.1,7.4,8.9,6.5,7.9,9.8,1945.8,1000,1,1.663,0.129,0.157,0.19
YBR109C,CMD1,0.0201,0.0239,0.0265,26.2,29,34.4,35.4,40.8,52.3,3752.9,1000,1,20.63,0.415,0.493,0.547
YBR110W,ALG1,0.0429,0.0488,0.056,12.4,14.2,16.2,14.1,16.5,19.3,4282.2,1000,1,4.169,0.179,0.203,0.234
YBR111C,YSA1,0.0228,0.0278,0.032,21.6,25,30.4,27.6,33.2,43.7,4230.2,1000,1,9.922,0.226,0.276,0.318
YBR112C,CYC8,0.136,0.1618,0.2027,3.4,4.3,5.1,3.5,4.5,5.4,4608,1000,1,8.065,1.097,1.305,1.635
YBR114W,RAD16,0.0695,0.0829,0.098,7.1,8.4,10,7.6,9.1,11.1,2023,1000,1,3.059,0.213,0.254,0.3
YBR115C,LYS2,0.0681,0.0822,0.1018,6.8,8.4,10.2,7.3,9.2,11.3,21769.8,390,1,18.48,1.259,1.519,1.882
YBR116C,YBR116C,0.0452,0.0733,0.1017,6.8,9.5,15.3,7.3,10.4,18.1,66.9,1000,0,0.066,0.003,0.005,0.007
YBR117C,TKL2,0.0357,0.0769,0.1182,5.9,9,19.4,6.2,9.9,24.1,779.9,997,1,0.147,0.005,0.011,0.017
YBR119W,MUD1,0.0911,0.117,0.1512,4.6,5.9,7.6,4.8,6.3,8.2,345.3,1000,1,4.869,0.444,0.57,0.736
YBR120C,CBP6,0.0245,0.0318,0.0404,17.2,21.8,28.3,20.7,27.8,39.4,672.6,1000,1,2.281,0.056,0.073,0.092
YBR122C,MRPL36,0.0274,0.0342,0.0397,17.5,20.3,25.3,21.1,25.4,33.8,2150.6,1000,1,4.369,0.12,0.149,0.174
YBR123C,TFC1,0.082,0.0953,0.1098,6.3,7.3,8.5,6.7,7.8,9.2,1796.4,1000,1,2.281,0.187,0.217,0.251
YBR125C,PTC4,0.0663,0.076,0.0876,7.9,9.1,10.5,8.6,10,11.7,2109.8,1000,1,4.424,0.293,0.336,0.388
YBR126W-A,YBR126W-A,0.0233,0.0546,0.0847,8.2,12.7,29.7,8.9,14.5,42.2,316.3,1000,0,7.622,0.178,0.416,0.646
YBR126W-B,YBR126W-B,0.014,0.017,0.0197,35.2,40.8,49.7,54.1,68.8,98.2,425.5,1000,0,7.62,0.107,0.13,0.15
YBR128C,ATG14,0.0502,0.057,0.0627,11.1,12.2,13.8,12.4,13.8,16,322.8,1000,0,0.5352,0.027,0.031,0.034
YBR129C,OPY1,0.0641,0.0771,0.0911,7.6,9,10.8,8.2,9.9,12.1,1507.6,1000,1,2.798,0.179,0.216,0.255
YBR130C,SHE3,0.0793,0.0921,0.1048,6.6,7.5,8.7,7.1,8.1,9.6,1889.1,1000,1,4.038,0.32,0.372,0.423
YBR131W,CCZ1,0.0879,0.1027,0.1176,5.9,6.8,7.9,6.3,7.2,8.6,1052.7,1000,1,2.38,0.209,0.244,0.28
YBR132C,AGP2,0.0628,0.0805,0.0978,7.1,8.6,11,7.6,9.4,12.4,7808.7,997,1,0.8628,0.054,0.069,0.084
YBR133C,HSL7,0.0773,0.09,0.1055,6.6,7.7,9,7,8.3,9.8,9202.2,992,1,4.047,0.313,0.364,0.427
YBR135W,CKS1,0.0502,0.0663,0.0822,8.4,10.5,13.8,9.2,11.7,16,987.8,1000,1,5.054,0.254,0.335,0.415
YBR136W,MEC1,0.0857,0.1034,0.1219,5.7,6.7,8.1,6,7.2,8.8,4563.1,1000,1,1.579,0.135,0.163,0.193
YBR137W,YBR137W,0.0154,0.0185,0.0208,33.3,37.6,44.9,49.9,60,81.3,1417.9,1000,1,5.151,0.079,0.095,0.107
YBR138C,YBR138C,0.1093,0.1303,0.1491,4.6,5.3,6.3,4.9,5.6,6.8,491.6,1000,1,0.8328,0.091,0.109,0.124
YBR139W,YBR139W,0.049,0.0659,0.0823,8.4,10.5,14.1,9.2,11.8,16.4,16337.8,696,1,4.535,0.222,0.299,0.373
YBR141C,YBR141C,0.091,0.1088,0.133,5.2,6.4,7.6,5.5,6.8,8.2,440.5,1000,1,2.01,0.183,0.219,0.267
YBR141W-A,YBR141W-A,0.0192,0.0361,0.0502,13.8,19.2,36,16,23.8,56.2,59.4,1000,0,0.3942,0.008,0.014,0.02
YBR142W,MAK5,0.096,0.1108,0.1264,5.5,6.3,7.2,5.8,6.7,7.8,3703.2,1000,1,4.762,0.457,0.528,0.602
YBR143C,SUP45,0.0237,0.0277,0.032,21.7,25,29.3,27.6,33.3,41.3,19972.2,994,1,21.65,0.513,0.6,0.693
YBR145W,ADH5,0.0444,0.0588,0.071,9.8,11.8,15.6,10.8,13.3,18.5,1280.4,1000,1,11.76,0.522,0.692,0.835
YBR146W,MRPS9,0.0585,0.0762,0.0923,7.5,9.1,11.8,8.1,10,13.4,1642,1000,1,4.713,0.276,0.359,0.435
YBR147W,RTC2,0.0543,0.0844,0.1205,5.8,8.2,12.8,6.1,8.9,14.6,293.3,1000,0,5.851,0.318,0.494,0.705
YBR148W,YSW1,0.0258,0.0302,0.0343,20.2,23,26.9,25.3,29.8,36.7,189.1,1000,0,1.399,0.036,0.042,0.048
YBR149W,ARA1,0.0376,0.0515,0.0667,10.4,13.5,18.5,11.6,15.6,22.6,11064.8,978,1,8.38,0.315,0.432,0.559
YBR150C,TBS1,0.0867,0.1028,0.1196,5.8,6.7,8,6.1,7.2,8.7,2273.8,1000,1,2.02,0.175,0.208,0.242
YBR151W,APD1,0.0434,0.0546,0.0643,10.8,12.7,16,12.1,14.5,19,5211.7,1000,1,6,0.26,0.328,0.386
YBR152W,SPP381,0.0804,0.0942,0.1086,6.4,7.4,8.6,6.8,7.9,9.4,515.9,1000,1,0.5172,0.042,0.049,0.056
YBR153W,RIB7,0.0607,0.0709,0.0826,8.4,9.8,11.4,9.2,10.8,12.9,825.9,1000,1,2.508,0.152,0.178,0.207
YBR154C,RPB5,0.0235,0.0283,0.0339,20.4,24.5,29.5,25.7,32.4,41.7,3257.5,1000,1,15.98,0.376,0.452,0.542
YBR155W,CNS1,0.0717,0.0902,0.108,6.4,7.7,9.7,6.9,8.3,10.7,997.4,1000,1,5.365,0.385,0.484,0.579
YBR156C,SLI15,0.1569,0.1881,0.222,3.1,3.7,4.4,3.2,3.8,4.6,601.7,1000,1,1.298,0.204,0.244,0.288
YBR157C,ICS2,0.03,0.0341,0.0391,17.7,20.3,23.1,21.5,25.5,30,2651.2,1000,1,0.7122,0.021,0.024,0.028
YBR158W,AMN1,0.1254,0.1461,0.1659,4.2,4.7,5.5,4.4,5,5.8,11447.2,970,1,10.46,1.312,1.529,1.736
YBR159W,IFA38,0.0361,0.0438,0.0497,13.9,15.8,19.2,16.2,18.8,23.8,7283.1,1000,1,13.08,0.472,0.573,0.65
